"source";"target";"purpose"
"P06-2071";"219";"use"
"P06-2071";"220";"use"
"N10-1045";"221";"present"
"D11-1140";"222";"introduce"
"J10-4006";"223";"present"
"W06-0301";"224";"approach"
"P12-1036";"225";"approach"
"W06-0301";"226";"approach"
"D07-1114";"227";"approach"
"D09-1159";"228";"approach"
"P11-1016";"229";"use"
"P13-1132";"230";"present"
"W11-0705";"231";"introduce"
"S13-2053";"232";"approach"
"S13-2053";"233";"use"
"P13-1004";"234";"present"
"S13-1013";"235";"present"
"S13-1006";"236";"present"
"W10-2805";"237";"present"
"W10-2805";"238";"present"
"J11-2001";"239";"approach"
"S13-2021";"240";"method"
"S13-1017";"241";"method"
"S13-1007";"242";"method"
"S13-1017";"243";"method"
"P92-1052";"244";"approach"
"P12-1036";"245";"method"
"S13-2034";"246";"approach"
"J92-4003";"247";"present"
"S13-2055";"248";"approach"
"W12-3404";"249";"present"
"S12-1096";"250";"present"
"P06-1115";"251";"use"
"P05-2008";"252";"use"
"P13-1132";"253";"present"
"N12-1071";"254";"proposed by"
"N12-1071";"255";"proposed by"
"P92-1053";"256";"use"
"J10-1004";"257";"proposed by"
"P08-1034";"258";"approach"
"P08-1034";"259";"approach"
"W05-1203";"260";"proposed by"
"A94-1009";"261";"use"
"J98-2002";"262";"proposed by"
"J98-2002";"263";"proposed by"
"P79-1002";"264";"method"
"J83-1003";"265";"report"
"J80-2003";"266";"present"
"J02-2001";"267";"present"
"J00-2004";"268";"use"
"W98-1503";"269";"use"
"A94-1009";"270";"use"
"J98-2002";"271";"proposed by"
"W93-0239";"272";"use"
"P00-1050";"273";"use"
"J97-2004";"274";"use"
"J93-2003";"275";"introduce"
"W00-1702";"276";"use"
"J02-2003";"277";"use"
"P99-1014";"278";"proposed by"
"P99-1014";"279";"proposed by"
"W00-1702";"280";"use"
"P99-1020";"281";"use"
"J98-2002";"282";"proposed by"
"W00-1702";"283";"use"
"P99-1020";"284";"use"
"P83-1009";"285";"use"
"W01-0521";"286";"report"
"P87-1020";"287";"use"
"A83-1027";"288";"report"
"E89-1032";"289";"report"
"P04-1036";"290";"proposed by"
"P04-1036";"291";"use"
"P04-1036";"292";"use"
"W04-0506";"293";"report"
"W01-1205";"294";"present"
"N04-1035";"295";"use"
"P96-1021";"296";"proposed by"
"P00-1014";"297";"approach"
"P98-2177";"298";"approach"
"W97-0109";"299";"approach"
"J01-3001";"300";"approach"
"W06-3110";"301";"present"
"J95-4002";"302";"introduce"
"P09-2044";"303";"introduce"
"W10-3111";"304";"present"
"D10-1070";"305";"approach"
"P99-1039";"306";"use"
"J10-2004";"307";"use"
"P10-1160";"308";"report"
"S10-1008";"309";"present"
"W08-0606";"310";"report"
"P84-1055";"311";"present"
"J86-3001";"312";"introduce"
"W98-0319";"313";"present"
"P94-1014";"314";"present"
"P09-2044";"315";"present"
"W08-0607";"316";"present"
"W10-3011";"317";"approach"
"W10-3008";"318";"approach"
"W10-3002";"319";"approach"
"W10-3013";"320";"approach"
"W08-0607";"321";"use"
"P98-1035";"322";"use"
"P01-1067";"323";"proposed by"
"D10-1107";"324";"use"
"W09-2504";"325";"present"
"J97-1004";"326";"use"
"D09-1161";"327";"report"
"J94-4002";"328";"approach"
"E12-1069";"329";"present"
"P99-1065";"330";"report"
"J08-4003";"331";"report"
"W06-2922";"332";"proposed by"
"W06-2922";"333";"proposed by"
"W06-2930";"334";"use"
"P05-1013";"335";"proposed by"
"W07-1203";"336";"present"
"W04-0308";"337";"present"
"J01-2004";"338";"proposed by"
"P10-1121";"339";"present"
"P07-1028";"340";"introduce"
"P92-1052";"341";"use"
"D11-1012";"342";"present"
"P07-1016";"343";"present"
"P08-1028";"344";"report"
"E12-1055";"345";"present"
"N06-1022";"346";"approach"
"W08-2123";"347";"method"
"W08-2123";"348";"method"
"W99-0611";"349";"approach"
"W99-0611";"350";"approach"
"P07-1107";"351";"approach"
