"source";"target";"purpose"
"P02-1062";"1662";"proposed by"
"J14-2008";"1663";"present"
"D07-1110";"1664";"method"
"W06-1206";"1665";"method"
"P03-1012";"1666";"present"
"P03-1011";"1667";"present"
"P01-1067";"1668";"present"
"W01-1406";"1669";"present"
"W01-1406";"1670";"present"
"P03-1011";"1671";"present"
"P01-1067";"1672";"present"
"E06-1021";"1673";"use"
"W05-1513";"1674";"approach"
"W04-2319";"1675";"use"
"W04-2319";"1676";"use"
"W08-0411";"1677";"proposed by"
"W09-1205";"1678";"use"
"W08-1006";"1679";"use"
"P06-1005";"1680";"use"
"P06-1005";"1681";"approach"
"N04-1043";"1682";"present"
"P08-2032";"1683";"proposed by"
"P00-1042";"1684";"present"
"P08-1084";"1685";"use"
"P08-1068";"1686";"report"
"N06-1020";"1687";"use"
"W06-1615";"1688";"use"
"P07-1056";"1689";"use"
"W07-1409";"1690";"approach"
"W07-1406";"1691";"proposed by"
"P08-2039";"1692";"report"
"W08-0406";"1693";"proposed by"
"N07-2037";"1694";"use"
"W07-1106";"1695";"report"
"W02-0908";"1696";"proposed by"
"W02-0902";"1697";"use"
"P99-1067";"1698";"proposed by"
"P99-1067";"1699";"use"
"W02-2026";"1700";"use"
"N04-1006";"1701";"approach"
"P06-1032";"1702";"use"
"W03-1508";"1703";"approach"
"P98-1069";"1704";"use"
"P99-1067";"1705";"use"
"W04-3208";"1706";"approach"
"J05-4003";"1707";"use"
"J93-1004";"1708";"approach"
"J93-1006";"1709";"approach"
"P93-1024";"1710";"use"
"P99-1014";"1711";"use"
"W06-3108";"1712";"use"
"P06-2101";"1713";"use"
"D07-1055";"1714";"use"
"J93-1003";"1715";"proposed by"
"P06-1032";"1716";"introduce"
"P07-1011";"1717";"report"
"W06-1615";"1718";"use"
"E03-1026";"1719";"proposed by"
"W99-0613";"1720";"present"
"P95-1026";"1721";"method"
"W02-1001";"1722";"proposed by"
"P08-1119";"1723";"present"
"P02-1053";"1724";"report"
"N06-4007";"1725";"proposed by"
"P05-1074";"1726";"introduce"
"P05-1074";"1727";"proposed by"
"W04-3219";"1728";"use"
"E09-1055";"1729";"present"
"E99-1017";"1730";"present"
"P96-1015";"1731";"present"
"P96-1031";"1732";"present"
"P03-1019";"1733";"proposed by"
"E06-1009";"1734";"present"
"P08-1033";"1735";"report"
"N03-1017";"1736";"use"
"P03-1011";"1737";"present"
"W06-1641";"1738";"present"
"P04-1035";"1739";"present"
"P05-1030";"1740";"report"
"P02-1053";"1741";"use"
"W03-1017";"1742";"use"
"P07-1119";"1743";"present"
"P08-1108";"1744";"present"
"P07-2045";"1745";"use"
"P98-2177";"1746";"use"
"P03-1033";"1747";"present"
"N07-2038";"1748";"present"
"N03-1017";"1749";"proposed by"
"N06-1056";"1750";"method"
"N07-1022";"1751";"method"
"J02-3004";"1752";"present"
"W04-2609";"1753";"present"
"W01-0809";"1754";"present"
"W06-3307";"1755";"present"
"P08-1008";"1756";"report"
"D07-1026";"1757";"present"
"D08-1061";"1758";"present"
"E06-1003";"1759";"present"
"J97-3002";"1760";"introduce"
"W06-2609";"1761";"use"
"J97-2003";"1762";"introduce"
"N06-1033";"1763";"introduce"
"P06-1101";"1764";"introduce"
"P05-3026";"1765";"approach"
"P07-1040";"1766";"approach"
"P07-1055";"1767";"present"
"P07-1028";"1768";"method"
"D07-1042";"1769";"method"
"W08-0307";"1770";"use"
"W07-0401";"1771";"use"
"W08-0307";"1772";"use"
"W07-0401";"1773";"use"
"P98-2143";"1774";"approach"
"W06-2932";"1775";"use"
"P05-1013";"1776";"use"
"N04-4038";"1777";"use"
"W05-0708";"1778";"present"
"W96-0213";"1779";"report"
"N04-1019";"1780";"method"
"W06-1405";"1781";"present"
"W06-1405";"1782";"present"
"W09-3208";"1783";"present"
"P06-1084";"1784";"present"
"P03-1036";"1785";"present"
"P06-1038";"1786";"present"
"P06-1038";"1787";"method"
"W08-2123";"1788";"present"
"W02-0817";"1789";"present"
"S07-1016";"1790";"use"
"P02-1034";"1791";"present"
"P04-1043";"1792";"present"
"P07-1026";"1793";"present"
"W03-1602";"1794";"present"
"D07-1043";"1795";"present"
"N04-3012";"1796";"use"
"P05-1023";"1797";"method"
"W04-0811";"1798";"report"
"J02-1002";"1799";"present"
"P04-3022";"1800";"method"
"N04-1019";"1801";"method"
"W04-0308";"1802";"proposed by"
"W97-0703";"1803";"present"
"J02-4004";"1804";"present"
"J05-3004";"1805";"proposed by"
"P04-3022";"1806";"method"
"P02-1053";"1807";"use"
"P06-1121";"1808";"proposed by"
"P03-1021";"1809";"proposed by"
"P05-1033";"1810";"proposed by"
"P06-1121";"1811";"proposed by"
"W04-2312";"1812";"proposed by"
"W03-1812";"1813";"proposed by"
"W95-0101";"1814";"method"
"P05-1042";"1815";"present"
"W05-0606";"1816";"present"
"P03-1069";"1817";"present"
"P02-1006";"1818";"present"
"E06-1040";"1819";"report"
"W05-0821";"1820";"use"
"J01-1001";"1821";"use"
"W02-2016";"1822";"report"
"P96-1027";"1823";"approach"
"P05-1010";"1824";"introduce"
"N03-1017";"1825";"approach"
"J05-2003";"1826";"proposed by"
"P03-1029";"1827";"method"
"P05-1013";"1828";"proposed by"
"W05-0308";"1829";"proposed by"
"W03-0425";"1830";"method"
"P02-1006";"1831";"present"
"P02-1006";"1832";"present"
"W04-1102";"1833";"present"
"P96-1041";"1834";"proposed by"
"P04-1036";"1835";"proposed by"
"J93-1005";"1836";"report"
"J90-1003";"1837";"use"
"E97-1061";"1838";"use"
"P98-2201";"1839";"approach"
"P05-1023";"1840";"use"
"N03-1014";"1841";"use"
"W04-3210";"1842";"use"
"W05-0618";"1843";"method"
"W04-2401";"1844";"method"
"P05-1066";"1845";"present"
"W06-3123";"1846";"present"
"W04-1908";"1847";"report"
"W06-3123";"1848";"proposed by"
"W03-1812";"1849";"present"
"W97-0316";"1850";"method"
"W97-0316";"1851";"report"
"P02-1033";"1852";"use"
"P98-1069";"1853";"present"
"P99-1067";"1854";"present"
"A00-2008";"1855";"use"
"W02-0301";"1856";"report"
"N13-1048";"1857";"method"
"W03-1810";"1858";"use"
"P02-1038";"1859";"approach"
"N03-2012";"1860";"present"
"W01-1313";"1861";"approach"
"W01-1309";"1862";"approach"
"W01-1315";"1863";"approach"
"W02-2018";"1864";"method"
"W01-0713";"1865";"report"
"W05-1506";"1866";"proposed by"
"N03-1030";"1867";"report"
"P04-1054";"1868";"approach"
"W02-1010";"1869";"approach"
"W00-1805";"1870";"use"
"W02-0603";"1871";"present"
"W02-0604";"1872";"use"
"N01-1024";"1873";"use"
"P01-1063";"1874";"present"
"E06-1011";"1875";"present"
"W05-0407";"1876";"report"
"P99-1020";"1877";"use"
"P98-2228";"1878";"use"
"W97-0316";"1879";"method"
"W97-0316";"1880";"report"
"P05-1073";"1881";"approach"
"J02-3001";"1882";"use"
"W03-1008";"1883";"use"
"J05-1004";"1884";"use"
"E91-1028";"1885";"introduce"
"E91-1028";"1886";"use"
"W01-0805";"1887";"introduce"
"N03-1022";"1888";"use"
"W05-1625";"1889";"present"
"J05-1003";"1890";"method"
"W05-1606";"1891";"proposed by"
"P84-1109";"1892";"use"
"W03-1301";"1893";"report"
"E03-2010";"1894";"method"
"J05-1003";"1895";"report"
"W03-2606";"1896";"use"
"W04-3237";"1897";"proposed by"
"P03-1021";"1898";"use"
"N03-1017";"1899";"approach"
"J04-4002";"1900";"approach"
"P02-1014";"1901";"proposed by"
"P05-1052";"1902";"report"
"P01-1008";"1903";"use"
"P01-1008";"1904";"approach"
"P98-2127";"1905";"present"
"P05-1033";"1906";"present"
"P05-1034";"1907";"report"
"P05-1026";"1908";"use"
"W02-1001";"1909";"proposed by"
"P05-1022";"1910";"method"
"J05-1003";"1911";"method"
"P04-1013";"1912";"method"
"J05-3004";"1913";"present"
"J99-2004";"1914";"use"
"P05-1013";"1915";"approach"
"W06-2923";"1916";"use"
"W01-0715";"1917";"use"
"W03-1726";"1918";"approach"
"E95-1009";"1919";"introduce"
"P02-1034";"1920";"method"
"J03-3005";"1921";"use"
"P05-1022";"1922";"use"
"W04-3223";"1923";"report"
"N04-1035";"1924";"present"
"P05-1033";"1925";"use"
"P01-1067";"1926";"use"
"P02-1033";"1927";"use"
"W02-1030";"1928";"use"
"N03-1003";"1929";"present"
"W05-1205";"1930";"approach"
"W95-0107";"1931";"introduce"
"P05-1001";"1932";"method"
"P03-1054";"1933";"present"
"E97-1003";"1934";"approach"
"W05-1516";"1935";"approach"
"W05-1616";"1936";"use"
"P99-1008";"1937";"present"
"P99-1016";"1938";"present"
"N03-1011";"1939";"proposed by"
"J02-4002";"1940";"present"
"W97-0119";"1941";"approach"
"P98-1069";"1942";"approach"
"P99-1067";"1943";"approach"
"W09-0214";"1944";"use"
"Q14-1003";"1945";"present"
"W02-0505";"1946";"introduce"
"N13-1048";"1947";"use"
"P12-1048";"1948";"present"
"N13-1131";"1949";"proposed by"
"N13-1131";"1950";"proposed by"
"Q14-1003";"1951";"use"
"D08-1102";"1952";"use"
"W12-3139";"1953";"report"
"D09-1040";"1954";"present"
"P10-1082";"1955";"present"
"J11-1004";"1956";"use"
"W13-5306";"1957";"use"
"N12-1071";"1958";"use"
"W12-3711";"1959";"present"
"W12-3711";"1960";"present"
"D12-1048";"1961";"method"
"D10-1101";"1962";"use"
"P98-2206";"1963";"method"
"P13-1010";"1964";"introduce"
"D11-1063";"1965";"present"
"P02-1053";"1966";"proposed by"
"P07-2034";"1967";"present"
"P12-1018";"1968";"method"
"N10-1047";"1969";"report"
"N10-1047";"1970";"report"
"N10-1115";"1971";"use"
"J13-1006";"1972";"present"
"J01-2001";"1973";"proposed by"
"P05-1045";"1974";"use"
"W10-1734";"1975";"use"
"P05-1034";"1976";"approach"
"P11-1137";"1977";"use"
"W02-0505";"1978";"report"
"P08-1065";"1979";"present"
"D13-1174";"1980";"present"
"D11-1057";"1981";"present"
"N09-1005";"1982";"introduce"
"D11-1033";"1983";"method"
"P10-2041";"1984";"method"
"P11-1015";"1985";"introduce"
"P02-1053";"1986";"present"
"D07-1111";"1987";"approach"
"P11-1037";"1988";"approach"
"D07-1111";"1989";"approach"
"W13-0306";"1990";"present"
"P11-2031";"1991";"method"
"W10-0904";"1992";"present"
"P13-4002";"1993";"report"
"P11-1026";"1994";"present"
"P13-1155";"1995";"introduce"
"P11-1089";"1996";"present"
"P11-1038";"1997";"present"
"P11-1061";"1998";"use"
"D12-1127";"1999";"use"
"W13-4004";"2000";"present"
"W13-4066";"2001";"approach"
"W13-4069";"2002";"approach"
"W13-4071";"2003";"approach"
"W13-4070";"2004";"approach"
"J07-2002";"2005";"present"
"P85-1008";"2006";"use"
"W12-2426";"2007";"use"
"W11-1419";"2008";"use"
"W13-2117";"2009";"proposed by"
"W04-2118";"2010";"present"
"D08-1073";"2011";"proposed by"
"P11-2061";"2012";"proposed by"
"W13-4053";"2013";"method"
"W13-4053";"2014";"method"
"N10-1120";"2015";"use"
"W12-2018";"2016";"present"
"D12-1084";"2017";"method"
"W11-1208";"2018";"method"
"W13-3608";"2019";"method"
"W13-3608";"2020";"method"
"W13-3605";"2021";"method"
"W12-2406";"2022";"method"
"D12-1048";"2023";"introduce"
"P12-1039";"2024";"use"
"P10-1010";"2025";"present"
"P05-1071";"2026";"use"
"P12-2035";"2027";"method"
"P13-2001";"2028";"use"
"N07-1064";"2029";"use"
"N12-1006";"2030";"use"
"S13-1001";"2031";"present"
"P13-1088";"2032";"use"
"P08-1028";"2033";"use"
"D12-1110";"2034";"use"
"W13-4066";"2035";"use"
"W13-4067";"2036";"introduce"
"P05-2008";"2037";"proposed by"
"E09-1027";"2038";"approach"
"E09-3003";"2039";"approach"
"P05-1065";"2040";"approach"
"J10-2002";"2041";"approach"
"W12-2019";"2042";"approach"
"W02-0504";"2043";"report"
"N10-1076";"2044";"use"
"W05-0711";"2045";"use"
"N10-1093";"2046";"report"
"D14-1031";"2047";"use"
"P13-2138";"2048";"present"
"W12-1628";"2049";"use"
"W97-0209";"2050";"introduce"
"J92-4003";"2051";"method"
"P08-1068";"2052";"use"
"D07-1111";"2053";"use"
"P91-1034";"2054";"proposed by"
"W09-1323";"2055";"use"
"W08-0616";"2056";"use"
"J03-1002";"2057";"proposed by"
"P11-1023";"2058";"introduce"
"W12-3129";"2059";"present"
"J04-4002";"2060";"use"
"D10-1092";"2061";"present"
"P12-3005";"2062";"present"
"S12-1033";"2063";"present"
"W03-1306";"2064";"use"
"W04-1119";"2065";"use"
"P13-1129";"2066";"use"
"N13-1003";"2067";"present"
"P11-1099";"2068";"use"
"P10-2052";"2069";"present"
"P13-2081";"2070";"present"
"W11-1216";"2071";"present"
"N12-1011";"2072";"use"
"D13-1176";"2073";"approach"
"D11-1014";"2074";"use"
"D11-1014";"2075";"proposed by"
"W12-3801";"2076";"present"
"W11-0144";"2077";"use"
"W06-3506";"2078";"approach"
"W07-0103";"2079";"approach"
"W13-0904";"2080";"approach"
"W13-0906";"2081";"approach"
"E12-1009";"2082";"report"
"Q13-1034";"2083";"report"
"N10-1093";"2084";"report"
"D14-1031";"2085";"use"
"W11-0905";"2086";"present"
"P04-1085";"2087";"use"
"N06-2014";"2088";"use"
"W13-4006";"2089";"use"
"W13-4006";"2090";"use"
"W11-0702";"2091";"use"
"W13-4006";"2092";"use"
"N06-2014";"2093";"use"
"N03-2012";"2094";"use"
"N06-2014";"2095";"use"
"N03-2012";"2096";"use"
"W11-0702";"2097";"use"
"W13-4006";"2098";"use"
"W02-0505";"2099";"introduce"
"W12-4808";"2100";"present"
"N13-1066";"2101";"introduce"
"W11-2602";"2102";"use"
"N13-1036";"2103";"use"
"W11-2602";"2104";"use"
"N13-1036";"2105";"use"
"E03-1076";"2106";"method"
"E03-1076";"2107";"proposed by"
"N09-1046";"2108";"present"
"P11-2095";"2109";"present"
"P11-1140";"2110";"present"
"W08-0114";"2111";"present"
"N12-1033";"2112";"present"
"D13-1079";"2113";"use"
"P05-1047";"2114";"use"
"P11-1053";"2115";"use"
"N13-1113";"2116";"approach"
"J02-4002";"2117";"approach"
"D09-1155";"2118";"approach"
"W11-1203";"2119";"present"
"W97-0119";"2120";"present"
"D12-1003";"2121";"present"
"W09-0215";"2122";"proposed by"
"P00-1032";"2123";"introduce"
"W04-3238";"2124";"present"
"W08-2001";"2125";"use"
"W08-2001";"2126";"proposed by"
"W12-4207";"2127";"use"
"D10-1092";"2128";"present"
"P04-1077";"2129";"proposed by"
"J07-2002";"2130";"present"
"P06-1086";"2131";"present"
"W03-2008";"2132";"present"
"P13-1004";"2133";"proposed by"
"N10-3009";"2134";"use"
"W11-0132";"2135";"proposed by"
"N10-1027";"2136";"present"
"N04-1025";"2137";"use"
"W12-2206";"2138";"present"
"N04-1025";"2139";"use"
"N13-1131";"2140";"use"
"P03-1021";"2141";"approach"
"J10-3003";"2142";"method"
"W13-1705";"2143";"report"
"J03-4003";"2144";"use"
"W12-3129";"2145";"use"
"W03-1807";"2146";"use"
"W03-1004";"2147";"present"
"E91-1034";"2148";"use"
"E91-1034";"2149";"use"
"W12-2019";"2150";"report"
"P94-1038";"2151";"approach"
"J02-2003";"2152";"approach"
"J98-2002";"2153";"approach"
"N07-1071";"2154";"approach"
"P94-1038";"2155";"approach"
"P07-1028";"2156";"approach"
"J02-2003";"2157";"approach"
"J98-2002";"2158";"approach"
"N07-1071";"2159";"approach"
"P94-1038";"2160";"approach"
"P07-1028";"2161";"approach"
"W15-3001";"2162";"report"
"W15-3001";"2163";"report"
"N13-1048";"2164";"present"
"P04-1077";"2165";"present"
"W03-0318";"2166";"use"
"W10-1762";"2167";"present"
"W04-3243";"2168";"present"
"D11-1142";"2169";"use"
"N13-1107";"2170";"use"
"W09-2010";"2171";"use"
"P13-1155";"2172";"present"
"P12-1109";"2173";"use"
"N13-1050";"2174";"use"
"P13-1114";"2175";"use"
"W12-3704";"2176";"approach"
"P10-2021";"2177";"use"
"P05-1074";"2178";"method"
"D07-1024";"2179";"present"
"D13-1176";"2180";"present"
"S13-1002";"2181";"use"
"P08-1044";"2182";"proposed by"
"P05-1066";"2183";"present"
"N03-1017";"2184";"approach"
"J87-1002";"2185";"present"
"D09-1155";"2186";"introduce"
"P07-1004";"2187";"use"
"W13-4410";"2188";"use"
"W13-4417";"2189";"present"
"D14-1144";"2190";"present"
"E14-4033";"2191";"present"
"J93-2003";"2192";"present"
"D13-1049";"2193";"use"
"J03-1002";"2194";"method"
"W05-0821";"2195";"approach"
"N10-1125";"2196";"use"
"D10-1039";"2197";"present"
"P13-2013";"2198";"present"
"D10-1039";"2199";"present"
"D09-1022";"2200";"use"
"D13-1191";"2201";"present"
"J14-1002";"2202";"use"
"P13-1086";"2203";"use"
"D11-1038";"2204";"present"
"W05-0904";"2205";"proposed by"
"P10-1015";"2206";"introduce"
"P06-2008";"2207";"present"
"W10-0303";"2208";"use"
"J04-1004";"2209";"proposed by"
"W10-4127";"2210";"use"
"W12-4808";"2211";"present"
"Q14-1003";"2212";"present"
"W13-2904";"2213";"introduce"
"P00-1032";"2214";"present"
"W13-1817";"2215";"present"
"E06-1047";"2216";"use"
"P06-1086";"2217";"present"
"W05-0703";"2218";"present"
"W10-4305";"2219";"present"
"D09-1003";"2220";"use"
"E12-1003";"2221";"present"
"D11-1148";"2222";"use"
"W10-2912";"2223";"report"
"J01-3002";"2224";"present"
"P10-1146";"2225";"present"
"N10-1056";"2226";"approach"
"P11-2087";"2227";"approach"
"W11-1601";"2228";"approach"
"D11-1038";"2229";"approach"
"N10-1056";"2230";"approach"
"W04-3237";"2231";"use"
"P13-1126";"2232";"proposed by"
"P13-1048";"2233";"proposed by"
"P13-1033";"2234";"present"
"N10-1140";"2235";"present"
"P11-1105";"2236";"present"
"N13-1001";"2237";"present"
"P11-1105";"2238";"present"
"N13-1001";"2239";"present"
"W13-1013";"2240";"present"
"W12-1624";"2241";"introduce"
"W13-4413";"2242";"method"
"D10-1113";"2243";"present"
"P13-1131";"2244";"present"
"E99-1015";"2245";"use"
"W12-2601";"2246";"report"
"N12-1011";"2247";"present"
"W12-3704";"2248";"approach"
"N13-1035";"2249";"use"
"W13-4407";"2250";"present"
"P99-1047";"2251";"use"
"P99-1067";"2252";"present"
"J93-2003";"2253";"method"
"J00-2004";"2254";"method"
"J03-1002";"2255";"method"
"N04-1019";"2256";"method"
"W06-3123";"2257";"approach"
"N03-1017";"2258";"approach"
"W06-3123";"2259";"approach"
"W05-0821";"2260";"approach"
"J93-2005";"2261";"present"
"P98-2145";"2262";"use"
"A97-1052";"2263";"proposed by"
"W99-0626";"2264";"proposed by"
"W02-0505";"2265";"present"
"W98-1005";"2266";"introduce"
"A00-2038";"2267";"present"
"W97-1102";"2268";"use"
"J02-3001";"2269";"approach"
"W96-0102";"2270";"proposed by"
"P95-1026";"2271";"approach"
"W03-0429";"2272";"use"
"P03-1054";"2273";"present"
"P02-1036";"2274";"present"
"W02-2018";"2275";"method"
"J93-2005";"2276";"proposed by"
"P04-1035";"2277";"report"
"W04-3203";"2278";"use"
"P05-1022";"2279";"approach"
"J05-1003";"2280";"approach"
"A92-1018";"2281";"report"
"W03-1210";"2282";"present"
"W03-1808";"2283";"use"
"W04-0508";"2284";"use"
"J90-2002";"2285";"approach"
"N04-1033";"2286";"use"
"P96-1007";"2287";"method"
"W97-0209";"2288";"report"
"E03-1040";"2289";"proposed by"
"N04-1019";"2290";"method"
"J93-2003";"2291";"present"
"P96-1021";"2292";"present"
"N03-1020";"2293";"approach"
"W05-0626";"2294";"present"
"W05-0626";"2295";"use"
"W05-0625";"2296";"report"
"W05-0621";"2297";"use"
"W04-3212";"2298";"proposed by"
"W02-1706";"2299";"proposed by"
"P06-1122";"2300";"use"
"W05-0606";"2301";"introduce"
"W03-1305";"2302";"use"
"P99-1052";"2303";"present"
"P02-1035";"2304";"use"
"E06-1045";"2305";"use"
"P04-1082";"2306";"present"
"N03-1017";"2307";"method"
"W06-1410";"2308";"use"
"P02-1013";"2309";"approach"
"P02-1028";"2310";"introduce"
"W07-2328";"2311";"report"
"W02-1001";"2312";"report"
"W02-1001";"2313";"introduce"
"P04-1015";"2314";"method"
"P02-1035";"2315";"method"
"W04-3201";"2316";"method"
"P06-1110";"2317";"method"
"W06-1619";"2318";"present"
"W04-3252";"2319";"introduce"
"P05-1025";"2320";"report"
"W06-2922";"2321";"present"
"P06-2041";"2322";"report"
"P06-1113";"2323";"use"
"J83-3004";"2324";"present"
"J91-1003";"2325";"use"
"W02-1027";"2326";"present"
"N06-1034";"2327";"use"
"N06-2033";"2328";"proposed by"
"N03-1003";"2329";"present"
"P05-1033";"2330";"use"
"P05-1033";"2331";"proposed by"
"A97-1056";"2332";"proposed by"
"W93-0307";"2333";"use"
"P03-1040";"2334";"use"
"N04-4015";"2335";"use"
"E06-1006";"2336";"use"
"P05-1008";"2337";"report"
"W04-0702";"2338";"report"
"P06-1091";"2339";"use"
"E06-1047";"2340";"use"
"W06-1517";"2341";"report"
"W06-3114";"2342";"report"
"E06-1032";"2343";"report"
"W06-3114";"2344";"report"
"E06-1015";"2345";"present"
"P06-1051";"2346";"present"
"N07-2028";"2347";"present"
"P06-1035";"2348";"approach"
"W97-1102";"2349";"approach"
"W04-3252";"2350";"method"
"W02-1001";"2351";"proposed by"
"P05-1011";"2352";"use"
"W06-1619";"2353";"use"
"E06-1011";"2354";"method"
"W02-0301";"2355";"present"
"W03-1309";"2356";"present"
"W02-0301";"2357";"approach"
"W04-1221";"2358";"approach"
"W02-2018";"2359";"method"
"W06-1104";"2360";"use"
"W06-3318";"2361";"report"
"P07-1080";"2362";"present"
"W06-2932";"2363";"method"
"W06-2933";"2364";"method"
"P03-1021";"2365";"introduce"
"N06-1057";"2366";"present"
"P05-1071";"2367";"use"
"W05-0909";"2368";"use"
"E06-1043";"2369";"use"
"E06-1043";"2370";"proposed by"
"E06-1043";"2371";"proposed by"
"P94-1019";"2372";"use"
"W06-2919";"2373";"approach"
"W02-2035";"2374";"method"
"W02-2010";"2375";"method"
"W02-2035";"2376";"method"
"J04-4002";"2377";"approach"
"J04-4002";"2378";"approach"
"P05-1034";"2379";"approach"
"P06-2064";"2380";"use"
"N06-1055";"2381";"use"
"W04-2609";"2382";"use"
"W01-0511";"2383";"use"
"P06-2046";"2384";"use"
"W06-1203";"2385";"proposed by"
"W06-3123";"2386";"proposed by"
"P05-1067";"2387";"introduce"
"W05-0835";"2388";"use"
"J97-3002";"2389";"use"
"W03-2417";"2390";"present"
"W06-0602";"2391";"use"
"W01-0521";"2392";"report"
"E06-1043";"2393";"present"
"E03-1025";"2394";"report"
"W04-2705";"2395";"present"
"W05-0904";"2396";"present"
"P05-1059";"2397";"approach"
"W02-1039";"2398";"report"
"A92-1021";"2399";"approach"
"W96-0104";"2400";"use"
"J98-4003";"2401";"present"
"E95-1022";"2402";"use"
"P98-1071";"2403";"present"
"P93-1032";"2404";"report"
"E97-1029";"2405";"present"
"W98-1301";"2406";"proposed by"
"W95-0105";"2407";"use"
"P93-1024";"2408";"use"
"W97-0309";"2409";"use"
"E97-1012";"2410";"report"
"W97-1306";"2411";"method"
"W97-1306";"2412";"method"
"P89-1032";"2413";"method"
"J94-4002";"2414";"method"
"P94-1020";"2415";"use"
"J93-2004";"2416";"approach"
"W97-0301";"2417";"introduce"
"E93-1031";"2418";"present"
"W93-0111";"2419";"use"
"P95-1034";"2420";"approach"
"P96-1025";"2421";"present"
"P90-1005";"2422";"use"
"A88-1019";"2423";"use"
"W97-0301";"2424";"use"
"P87-1022";"2425";"approach"
"E97-1003";"2426";"use"
"P93-1003";"2427";"present"
"P94-1051";"2428";"present"
"P84-1055";"2429";"present"
"J86-3001";"2430";"present"
"P04-1067";"2431";"approach"
"D10-1115";"2432";"approach"
"D10-1115";"2433";"approach"
"W13-0112";"2434";"approach"
"P10-1117";"2435";"proposed by"
"P12-2038";"2436";"introduce"
"P12-2038";"2437";"proposed by"
"N10-1063";"2438";"use"
"P12-1016";"2439";"report"
"W10-2210";"2440";"method"
"N09-1024";"2441";"method"
"P10-1040";"2442";"present"
"N10-1013";"2443";"report"
"W00-1436";"2444";"use"
"D10-1101";"2445";"report"
"P10-1047";"2446";"report"
"N12-1016";"2447";"proposed by"
"J11-2001";"2448";"introduce"
"N04-1025";"2449";"approach"
"P11-2117";"2450";"approach"
"W10-0406";"2451";"approach"
"P11-2117";"2452";"approach"
"W10-0406";"2453";"approach"
"E09-1027";"2454";"use"
"P11-2117";"2455";"approach"
"W10-0406";"2456";"approach"
"E09-1027";"2457";"use"
"P11-2117";"2458";"approach"
"W10-0406";"2459";"approach"
"W12-1626";"2460";"approach"
"W11-1301";"2461";"use"
"P01-1029";"2462";"present"
"D08-1038";"2463";"use"
"D09-1092";"2464";"use"
"D09-1092";"2465";"introduce"
"W00-0717";"2466";"use"
"D11-1038";"2467";"introduce"
"P11-2089";"2468";"present"
"W10-1006";"2469";"present"
"P03-1044";"2470";"approach"
"D11-1017";"2471";"approach"
"E06-1042";"2472";"present"
"P02-1040";"2473";"use"
"W05-0618";"2474";"present"
"P12-1042";"2475";"use"
"N06-2014";"2476";"use"
"W02-1018";"2477";"present"
"P10-1049";"2478";"use"
"P12-1066";"2479";"use"
"Q13-1013";"2480";"approach"
"J02-3001";"2481";"method"
"W08-1105";"2482";"use"
"W08-1105";"2483";"use"
"W04-3110";"2484";"present"
"J91-4003";"2485";"use"
"W10-2606";"2486";"report"
"D07-1103";"2487";"proposed by"
"S12-1001";"2488";"present"
"W12-3130";"2489";"proposed by"
"W10-4107";"2490";"present"
"D11-1054";"2491";"present"
"W11-2008";"2492";"present"
"E12-1049";"2493";"use"
"E12-1081";"2494";"use"
"W12-2502";"2495";"present"
"P11-2014";"2496";"present"
"W09-2005";"2497";"present"
"W09-2005";"2498";"present"
"J94-1003";"2499";"proposed by"
"E09-1019";"2500";"use"
"P03-1070";"2501";"present"
"E03-1009";"2502";"present"
"W11-3702";"2503";"approach"
"J95-3003";"2504";"present"
"W12-1621";"2505";"approach"
"W10-1757";"2506";"introduce"
"N01-1031";"2507";"use"
"W09-1401";"2508";"approach"
"W02-0902";"2509";"present"
"N10-1013";"2510";"present"
"E12-1074";"2511";"proposed by"
"D07-1103";"2512";"proposed by"
"P05-1033";"2513";"present"
"D11-1045";"2514";"proposed by"
"D11-1045";"2515";"proposed by"
"P08-2029";"2516";"method"
"P07-1098";"2517";"method"
"W05-0610";"2518";"use"
"W06-3506";"2519";"use"
"W11-1824";"2520";"method"
"W12-3806";"2521";"present"
"W11-1824";"2522";"method"
"W11-1806";"2523";"method"
"W11-1818";"2524";"method"
"W11-1814";"2525";"method"
"N09-1066";"2526";"proposed by"
"P07-1003";"2527";"present"
"P07-1003";"2528";"present"
"N06-1014";"2529";"present"
"A00-2018";"2530";"report"
"J05-1003";"2531";"report"
"D11-1033";"2532";"method"
"W12-0102";"2533";"approach"
"P05-3013";"2534";"proposed by"
"P05-1074";"2535";"introduce"
"P02-1040";"2536";"use"
"W13-0301";"2537";"present"
"P09-1004";"2538";"present"
"E12-1003";"2539";"introduce"
"W11-2112";"2540";"introduce"
"W10-1807";"2541";"report"
"W09-3003";"2542";"use"
"W12-6106";"2543";"approach"
"W12-6106";"2544";"approach"
"S13-2029";"2545";"use"
"D12-1077";"2546";"proposed by"
"J02-1002";"2547";"proposed by"
"P01-1064";"2548";"proposed by"
"D10-1018";"2549";"present"
"D07-1097";"2550";"approach"
"D10-1061";"2551";"introduce"
"J05-4003";"2552";"use"
"N12-1006";"2553";"use"
"N06-1024";"2554";"introduce"
"P10-1014";"2555";"proposed by"
"W11-1807";"2556";"present"
"E91-1028";"2557";"use"
"P06-1131";"2558";"proposed by"
"P11-2116";"2559";"use"
"P10-1110";"2560";"use"
"P09-1075";"2561";"approach"
